id,pollingfirm,year,month,day,party_a,party_b,party_c,party_f,party_i,party_k,party_o,party_v,party_oe,party_aa,n,source
124,Epinion,2011,8,27,27.4,7.6,6.6,13.8,3.8,,11.8,23.5,4.7,,1551,
125,Megafon,2011,8,28,26.2,8.5,5.1,12.5,5,,12.5,24.1,5.1,,1000,
126,Voxmeter,2011,8,28,26.4,7.3,6.4,14.1,3.7,,12.5,23.2,4.8,,1000,
127,Epinion,2011,8,28,27.6,7.3,6.9,13.3,4.1,,12,23,4.9,,1070,
128,Gallup,2011,8,28,27.6,8.4,6.4,11.9,3.6,,12.4,23.9,5.3,,1760,
129,Rambøll,2011,8,29,27.9,6.7,7.4,12.7,3.4,,11.8,23.7,6,,980,
130,Voxmeter,2011,8,29,27.7,7.6,7.1,12.8,3.6,,11.5,24.5,4.6,,1000,
131,Megafon,2011,8,29,26.7,9.4,4.7,10.9,4.8,,12.7,23.3,6.4,,1000,
132,Epinion,2011,8,29,28.1,6.7,6.3,13,4.3,,12.3,23.1,5.1,,1018,
133,Norstat,2011,8,29,28.3,7.4,5.1,13.4,3,,11.6,26.6,4.1,,1246,
134,Gallup,2011,8,29,27,8.5,7.1,12,3.7,,12.2,23.5,5.4,,1845,
135,YouGov,2011,8,29,25.2,8.9,6.3,11.1,5.9,,13.1,21.7,7.2,,3006,
136,Megafon,2011,8,30,24.4,9.9,5.6,12.7,2.9,,13.6,25.2,5.1,,900,
137,Epinion,2011,8,30,29.1,6.3,5.4,11.7,4.2,,12.2,23.8,6.4,,994,
138,Rambøll,2011,8,30,30.4,7,7.1,11.1,3.1,,12.2,23.5,4.9,,1000,
139,Voxmeter,2011,8,30,25.9,8.6,7,12.2,4.6,,11.8,24.3,4.9,,1000,
140,Gallup,2011,8,30,26.7,9.1,7.3,12.1,3.3,,12.7,23.4,4.8,,1740,
141,Voxmeter,2011,8,31,25.5,10.1,6.7,11.5,3.8,,11.1,24.2,5.7,,1000,
142,Megafon,2011,8,31,25.7,9.4,5.4,12.1,3.1,,12.5,25.5,5.6,,1000,
143,Rambøll,2011,8,31,29.2,8.2,6.9,11.4,2.6,,12.2,23.5,5.3,,1000,
144,Epinion,2011,8,31,29.3,6.3,5.1,11.6,4.3,,12.9,23.4,6.4,,1008,
145,Greens,2011,8,31,25.6,8.8,6.4,11.8,3.6,,12.4,24.6,6,,1169,
146,Gallup,2011,8,31,26.4,8.2,7.5,12.4,3.5,,12.3,24.3,4.6,,1685,
147,Rambøll,2011,9,1,28.3,8.3,6.1,11,3.1,,13.1,23.3,5.9,,1000,
148,Megafon,2011,9,1,25.7,9.5,5.4,11.1,4.6,,11.6,25.2,5.9,,1000,
149,Voxmeter,2011,9,1,25.6,10.1,6.3,11,4.4,,11.2,23.4,6.4,,1010,
150,Epinion,2011,9,1,28.4,6.9,5.5,11.8,4.1,,12.7,23.5,6.5,,1022,
151,Norstat,2011,9,1,26.9,8.8,5,11.8,5.2,,10.7,24.8,5.9,,1051,
152,Gallup,2011,9,1,24.7,8,6.4,13.4,4.8,,12.2,24.9,4.8,,1572,
153,Rambøll,2011,9,2,27.7,9,6,11.3,3,,13.2,23.2,5.5,,1000,
154,Epinion,2011,9,2,27.6,7.3,5.6,12.4,4.5,,12.4,23.6,5.9,,1000,
155,Voxmeter,2011,9,2,26,9.9,6.6,11.4,4.4,,10.1,22.6,7,,1000,
156,Megafon,2011,9,2,24.8,9.9,5.2,11,5.1,,12.6,24.2,6.2,,1000,
157,Gallup,2011,9,2,25.6,6.8,6.3,13.3,5.4,,11.2,24.3,6.2,,1526,
158,Epinion,2011,9,3,27,7.2,6,12.3,4.6,,12.1,24.1,5.9,,1000,
159,Voxmeter,2011,9,3,27.7,9.7,6.6,10.6,4.4,,9.9,22.8,6.6,,1000,
160,Megafon,2011,9,3,24.5,9.1,6,11.3,5.1,,12.8,23.4,6.8,,1000,
161,Norstat,2011,9,3,25,8.8,6.2,12.1,3.9,,13,24.1,6.1,,1059,
162,Rambøll,2011,9,3,26.2,8.8,5.6,12,3.3,,12.9,23.2,6.8,,1066,
163,Gallup,2011,9,3,25.1,7.5,6.4,13.3,5.4,,11.3,23.9,6.2,,1521,
164,Rambøll,2011,9,4,25.7,9.2,5.5,11.1,4.2,,13.1,23.4,6.8,,975,
165,Megafon,2011,9,4,24.8,9.2,6,11,5.3,,13.1,22.9,7,,1000,
166,Voxmeter,2011,9,4,27.1,10.1,6.2,10.7,4.6,,10.7,22.4,7,,1001,
167,Epinion,2011,9,4,26.1,7.3,5.6,11.9,5.1,,12.5,24.6,6,,1032,
168,Gallup,2011,9,4,25.8,7.8,6.9,12.3,4.7,,12.1,23.2,6.4,,1652,
169,Rambøll,2011,9,5,25.8,9.3,5.9,11.8,4.5,,12.7,22.6,6.3,,906,
170,Epinion,2011,9,5,25.6,8.4,6,11.1,5.2,,12.6,24.4,5.9,,1000,
171,Voxmeter,2011,9,5,26.1,10.5,6.3,9.8,3.6,,10.9,23.1,7.9,,1000,
172,Megafon,2011,9,5,25,8.3,6.4,10.7,5.4,,13.7,23.2,6.6,,1000,
173,Norstat,2011,9,5,25.4,8.5,6.3,10.8,3.6,,11.1,24.8,8.2,,1067,
174,Gallup,2011,9,5,24.6,8.4,6.9,12.3,4.8,,12.4,23.7,6.1,,1699,
175,Rambøll,2011,9,6,26,9.1,5.6,11.9,5.2,,12.2,22.1,7.1,,938,
176,Voxmeter,2011,9,6,24.4,10.7,6.4,10.8,4,,12.6,22.1,8,,1000,
177,Megafon,2011,9,6,24.2,9.3,6.2,10.1,5.4,,13.1,24.2,6.7,,1000,
178,Epinion,2011,9,6,25.2,9,6.3,11.3,5.4,,12.8,23.9,5.6,,1065,
179,Norstat,2011,9,6,25.7,9,6,10.7,4.8,,10.1,24.8,7.7,,1078,
180,Gallup,2011,9,6,25.3,8.1,6.6,11.7,4.8,,12.7,24,6,,1655,
181,Rambøll,2011,9,7,25.5,9.2,6.8,11.2,5.4,,13,21.8,6.2,,895,
182,Megafon,2011,9,7,24.2,9.5,6,10.5,5.7,,12.7,23.7,7,,1000,
183,Voxmeter,2011,9,7,26,9.1,6.9,10.9,3,,12.2,23.5,7.3,,1000,
184,Epinion,2011,9,7,25.3,9.6,6.2,11.5,5.5,,12.5,23.1,5.7,,1056,
185,Norstat,2011,9,7,25.4,7.9,6.9,11,5.3,,11,25.1,6.5,,1086,
186,Greens,2011,9,7,25.3,9.9,5.7,10.3,5,,11.3,24.7,6.8,,1183,
187,Gallup,2011,9,7,25,9.1,6.5,11.4,5.2,,13,23.3,5.7,,1682,
188,Rambøll,2011,9,8,24.9,8.6,7,12.2,5,,12.9,22.1,6.3,,914,
189,Megafon,2011,9,8,24.3,9.4,6,11.1,5.8,,12.3,23.6,6.8,,1000,
190,Voxmeter,2011,9,8,26,9.5,5.8,10.7,3.2,,12.7,25,6.3,,1000,
191,Epinion,2011,9,8,25.9,9.5,5.6,12,5.6,,12,22.7,5.9,,1018,
192,Norstat,2011,9,8,26.1,8,6.1,10.6,5.5,,12.2,24.7,5.9,,1271,
193,Gallup,2011,9,8,25.4,9.3,6.2,10.1,5.6,,12.7,23.3,6.4,,1645,
194,Rambøll,2011,9,9,25,9.4,6.5,11.8,4.2,,12.6,23.3,6.1,,950,
195,Epinion,2011,9,9,26.4,9.6,5.5,11.7,5.8,,11.8,22.6,6,,1000,
196,Megafon,2011,9,9,24.9,9.7,5.8,11.6,5.2,,12.1,23.6,6.4,,1000,
197,Voxmeter,2011,9,9,26.2,9.8,5,9.7,4.7,,11.9,25.7,5.7,,1001,
198,Gallup,2011,9,9,25,10,5,9.8,5.4,,13.6,23,7.2,,1748,
199,Voxmeter,2011,9,10,24.8,9.4,5.3,9.5,5.2,,12.4,26.1,6,,1000,
200,Rambøll,2011,9,10,24.7,9.6,6.2,10.9,4.8,,12.5,24.4,5.8,,1000,
201,Epinion,2011,9,10,25.9,9.1,5.1,11.2,6,,12.4,23.3,6.5,,1000,
202,Norstat,2011,9,10,27.3,8.5,6.1,10.4,4.4,,12.6,22.8,6.1,,1089,
203,Gallup,2011,9,10,26.4,8.9,5.2,10.1,5.2,,12.1,23.7,7.4,,2010,
204,Voxmeter,2011,9,11,23.1,10.7,5,10,6,,13,24.5,6.3,,1000,
205,Epinion,2011,9,11,25.1,9.1,5.6,11.1,5.7,,12.2,23.9,6.6,,1000,
206,Megafon,2011,9,11,25.4,9.9,6.7,10.4,5.5,,11.4,22.6,7.2,,1000,
207,Rambøll,2011,9,11,24.3,10.4,5.8,10.8,5.1,,11.9,24.3,6.4,,1040,
208,Norstat,2011,9,11,27.2,8,5.9,10.3,4.3,,12.2,24.5,6.1,,1625,
209,Gallup,2011,9,11,25.9,9.2,5.4,10.8,4.9,,12.7,23,7.2,,2341,
210,Voxmeter,2011,9,12,22.5,11.1,5.1,10.2,5.8,,12.9,23.8,7,,1000,
211,Megafon,2011,9,12,24.4,10.2,6.3,10.2,5.6,,12.4,23.6,6.5,,1000,
212,Epinion,2011,9,12,24.9,8.7,5.9,10.6,5.7,,12.4,24,7,,1030,
213,Rambøll,2011,9,12,25,10.2,5.8,10.6,5.3,,11.9,23.9,6.1,,1080,
214,Greens,2011,9,12,26,9.6,5.9,10.7,4.6,,11.5,24,6.7,,1451,
215,Norstat,2011,9,12,26.3,8.4,6,11.5,4,,12.3,24.1,6.2,,1631,
216,Gallup,2011,9,12,26.4,9.3,6.3,10.9,4.8,,11.4,23.7,6.2,,2575,
217,YouGov,2011,9,12,23.2,9.7,6.3,10.3,8.1,,12.4,21,8.4,,3762,
218,Megafon,2011,9,13,24.6,10.8,6.3,9.5,5.5,,12.1,23.5,6.7,,1000,
219,Epinion,2011,9,13,25,8.4,5.8,11.1,5.4,,12.1,24.6,6.7,,1000,
220,Voxmeter,2011,9,13,22.1,11.7,5.6,10.8,5.3,,12.7,23.4,7.4,,1000,
221,Rambøll,2011,9,13,24.7,9.1,5.9,10.6,6,,12,23.7,6.8,,1145,
222,Norstat,2011,9,13,26.8,8.1,6,10.2,4.1,,13,25.2,5.8,,1618,
223,Gallup,2011,9,13,25.3,9.8,6.1,10.4,5.1,,12.3,24.3,5.5,,2216,
224,Megafon,2011,9,14,25,9.7,6,10.6,5.2,,12.8,24.1,5.8,,1000,
225,Rambøll,2011,9,14,25,9.4,6.2,10.7,5.3,,11.5,23,7.6,,1145,
226,Voxmeter,2011,9,14,26.1,9.9,5.8,9.9,4.9,,10.7,25.4,6.6,,1751,
227,Norstat,2011,9,14,25.8,9.1,6.1,11,4.4,,11.8,24.9,6.1,,2456,
228,Epinion,2011,9,14,25.4,9.6,5.8,10.5,5.2,,12.1,24.4,6.2,,2621,
229,Gallup,2011,9,14,25.1,9.2,5.5,10.7,4.9,,12.1,25.4,6.2,,5503,
230,Voxmeter,2011,9,28,23.8,9.1,4,8.7,5.1,,11.7,28.8,8.1,,1004,
231,Greens,2011,10,6,24.4,10.1,3.3,7.9,4.6,,11.3,30.5,7.5,,1000,
232,Megafon,2011,10,6,24.1,10.5,4,7.8,5.4,,12.4,28.2,6.9,,1000,
233,Gallup,2011,10,6,23,10.7,3.5,8.9,5.1,,12.2,28.9,7.1,,1545,
234,Voxmeter,2011,10,9,22.9,10.3,4,8.6,4.2,,11.5,30.2,7.5,,1004,
235,YouGov,2011,10,10,22.2,9.7,4.3,7.3,4.8,,12.1,30.8,8.1,,1018,
236,Greens,2011,10,12,22.7,10.1,4.3,8.2,4.7,,12.2,30.7,6.6,,1357,
237,Rambøll,2011,10,13,23,10,3.6,9.4,4.2,,12.3,29.7,6.9,,1054,
238,Voxmeter,2011,10,16,22.4,9.3,4.2,8.2,4.6,,12.2,31.9,6.3,,1000,
239,Voxmeter,2011,10,23,20.5,9.6,4.4,8.4,5.2,,12.7,31.3,6.9,,1000,
240,Megafon,2011,10,26,22.9,9.7,4,7.9,4.1,,10.5,33.1,7.1,,840,
241,Voxmeter,2011,10,30,21,9.6,4.6,7.5,5,,11.6,32.5,7.7,,1000,
242,Greens,2011,11,2,21.9,9.7,4.3,8.7,3.9,,11.6,32.7,6.3,,1000,
243,Epinion,2011,11,3,20.9,9.6,4.4,8.7,4.8,,11.8,31.9,7.4,,1000,
244,YouGov,2011,11,6,22,10.4,3.6,7.8,5.4,,11.7,31.3,7.2,,1563,
245,Rambøll,2011,11,10,21,9.7,4.4,9.1,4.4,,11.2,32.2,7.6,,1025,
246,Gallup,2011,11,10,22.8,9.4,4.6,7.9,4.4,,11.7,31.1,7.4,,1678,
247,Voxmeter,2011,11,12,20.4,10.1,4.3,8.1,4.5,,13,32.2,7,,1000,
248,Voxmeter,2011,11,18,22.9,9.1,4.3,7.5,4.8,,11,32.9,6.9,,1000,
249,Megafon,2011,11,24,23,10.5,3.3,7,4.7,,11.4,32.2,7.5,,1000,
250,Voxmeter,2011,11,27,22.7,9.2,4.5,7.6,4.7,,10.9,33.3,6.7,,1000,
251,Greens,2011,11,30,20.1,9.1,4,7.9,3.9,,11.5,35.9,7.2,,1218,
252,Rambøll,2011,12,8,22.4,9.6,4.8,7.9,4.5,,11.5,32.4,6.7,,1025,
253,Gallup,2011,12,8,21.8,9.6,3.5,8.1,5.3,,11.4,31,8.6,,1556,
254,Voxmeter,2011,12,11,19.9,9.7,4.4,8.3,5.9,,12,31.7,7.5,,1000,
255,YouGov,2011,12,11,21.9,10.1,3.2,7.1,4.7,,11.1,33.1,8.4,,1285,
256,Megafon,2011,12,14,22.8,10.5,3.9,7.4,4.6,,10.4,32.9,7.3,,1000,
257,Voxmeter,2011,12,17,20.5,11,4.2,7.7,5.1,,12.5,31.5,6.8,,1000,
258,Epinion,2011,12,21,22.1,9,3.5,8.1,4.8,,11.4,32.5,7.8,,1000,
259,Greens,2012,1,4,21.6,8.9,3.7,7.4,3.5,,10.8,36.4,7.1,,1248,
260,Gallup,2012,1,5,23.1,9.7,2.6,6.9,4.5,,12.5,32.1,7.8,,1598,
261,Rambøll,2012,1,8,21.8,9.3,3.7,6.9,4.5,,13.1,33,7.5,,1000,
262,Epinion,2012,1,9,22,10.2,3.1,8.3,4.5,,11.8,32.4,7.2,,1015,
263,Rambøll,2012,1,12,21.6,8.7,3.5,7.9,4.2,,11.9,34.6,6.8,,1038,
264,Megafon,2012,1,26,22.6,8.8,4,7.4,4.9,,11.8,32.8,7.3,,1000,
265,Greens,2012,2,1,21.7,10.4,4.2,6.8,5.1,,12.2,32.2,6.7,,1126,
266,Voxmeter,2012,2,6,23.2,9.6,3.4,6.6,4.3,,11.7,33.8,7.3,,1000,
267,Rambøll,2012,2,6,21.6,9.3,3.8,6.3,5,,13.6,32.4,7.3,,1556,
268,Rambøll,2012,2,9,21.3,10.2,3.4,8.5,4.5,,12,33.1,6.3,,1050,
269,Gallup,2012,2,9,23,9.4,4.1,6.9,4.9,,12.2,32.2,6.8,,1539,
270,Epinion,2012,2,15,22.4,9.5,4.1,7.2,5.1,,12.2,32.4,6.7,,1000,
271,Megafon,2012,2,22,20.2,10,3.2,8.1,4.6,,11.9,34.3,7.2,,1008,
272,Voxmeter,2012,2,26,21.5,9.9,3.3,6.5,4.5,,11.9,34.8,7.7,,1000,
273,Greens,2012,3,1,18.5,9.6,3.7,7.1,3.4,,12.8,35.6,8.9,,1168,
